datetime,open,high,low,close,volume,open_interest
2024-01-02 08:45:00,17797.8,17798.1,17795.8,17797.2,1261,119251
2024-01-02 08:46:00,17797.2,17798.9,17796.8,17798.4,1334,120116
2024-01-02 08:47:00,17798.4,17803.8,17798.2,17802.5,1078,119492
2024-01-02 08:48:00,17802.5,17806.0,17802.4,17803.3,1268,120265
2024-01-02 08:49:00,17803.3,17804.0,17797.3,17798.2,1562,119879
2024-01-02 08:50:00,17798.2,17800.1,17796.7,17799.6,966,120284
2024-01-02 08:51:00,17799.6,17804.8,17793.0,17794.3,1025,120438
2024-01-02 08:52:00,17794.3,17799.0,17792.6,17796.6,999,119956
2024-01-02 08:53:00,17796.6,17796.8,17793.9,17795.6,1491,120174
2024-01-02 08:54:00,17795.6,17798.8,17794.3,17797.8,1084,119765
2024-01-02 08:55:00,17797.8,17800.1,17793.2,17799.6,1054,119450
2024-01-02 08:56:00,17799.6,17805.1,17798.6,17802.3,1550,120713
2024-01-02 08:57:00,17802.3,17805.1,17800.9,17801.9,1585,119278
2024-01-02 08:58:00,17801.9,17802.6,17801.3,17802.1,1517,120290
2024-01-02 08:59:00,17802.1,17811.4,17800.8,17810.2,1131,119584
2024-01-02 09:00:00,17810.2,17814.6,17810.0,17813.5,1524,119638
2024-01-02 09:01:00,17813.5,17817.2,17810.3,17812.5,1129,120207
2024-01-02 09:02:00,17812.5,17816.7,17812.0,17816.7,1350,120542
2024-01-02 09:03:00,17816.7,17820.3,17814.6,17819.8,1571,120190
2024-01-02 09:04:00,17819.8,17824.1,17815.9,17824.1,1192,120796
2024-01-02 09:05:00,17824.1,17825.5,17821.8,17824.5,1254,120711
2024-01-02 09:06:00,17824.5,17828.7,17819.7,17827.3,1513,120277
2024-01-02 09:07:00,17827.3,17828.6,17825.4,17825.4,1817,119472
2024-01-02 09:08:00,17825.4,17828.1,17823.0,17823.9,1190,120048
2024-01-02 09:09:00,17823.9,17824.4,17817.2,17819.6,1565,120001
2024-01-02 09:10:00,17819.6,17828.1,17816.8,17827.6,909,119938
2024-01-02 09:11:00,17827.6,17832.2,17824.2,17828.7,1597,120295
2024-01-02 09:12:00,17828.7,17835.5,17828.6,17834.1,1143,119375
2024-01-02 09:13:00,17834.1,17835.1,17830.0,17834.8,1116,120160
2024-01-02 09:14:00,17834.8,17835.5,17828.7,17829.3,1547,120724
2024-01-02 09:15:00,17829.3,17831.5,17828.2,17829.1,1455,120245
2024-01-02 09:16:00,17829.1,17831.4,17826.5,17826.7,1509,120637
2024-01-02 09:17:00,17826.7,17829.4,17822.4,17828.8,1373,119852
2024-01-02 09:18:00,17828.8,17832.1,17828.6,17829.2,1455,120597
2024-01-02 09:19:00,17829.2,17832.6,17826.8,17827.4,1368,119695
2024-01-02 09:20:00,17827.4,17831.7,17825.4,17830.4,1455,119901
2024-01-02 09:21:00,17830.4,17831.3,17825.2,17825.2,1076,120261
2024-01-02 09:22:00,17825.2,17828.1,17824.4,17827.0,1604,119643
2024-01-02 09:23:00,17827.0,17828.3,17822.4,17828.3,741,120347
2024-01-02 09:24:00,17828.3,17828.5,17823.4,17827.2,1297,121120
2024-01-02 09:25:00,17827.2,17827.9,17824.7,17825.7,1092,120031
2024-01-02 09:26:00,17825.7,17826.1,17820.5,17824.7,1900,119916
2024-01-02 09:27:00,17824.7,17832.8,17824.1,17830.8,2249,119565
2024-01-02 09:28:00,17830.8,17831.9,17824.6,17825.5,1508,120645
2024-01-02 09:29:00,17825.5,17828.7,17823.8,17824.6,1672,120232
2024-01-02 09:30:00,17824.6,17824.7,17815.0,17817.8,1937,120280
2024-01-02 09:31:00,17817.8,17821.4,17816.1,17818.9,1314,120251
2024-01-02 09:32:00,17818.9,17821.9,17816.6,17820.9,1066,119421
2024-01-02 09:33:00,17820.9,17827.8,17820.2,17823.2,1434,120761
2024-01-02 09:34:00,17823.2,17825.4,17822.4,17823.4,1076,119662
2024-01-02 09:35:00,17823.4,17830.7,17822.4,17828.8,2299,119983
2024-01-02 09:36:00,17828.8,17831.5,17828.3,17830.9,1994,120753
2024-01-02 09:37:00,17830.9,17831.7,17825.2,17826.0,1534,119325
2024-01-02 09:38:00,17826.0,17829.8,17818.0,17818.1,1269,120172
2024-01-02 09:39:00,17818.1,17820.6,17811.4,17815.4,1398,120185
2024-01-02 09:40:00,17815.4,17820.5,17815.1,17818.9,1704,119931
2024-01-02 09:41:00,17818.9,17820.0,17815.4,17816.6,650,120078
2024-01-02 09:42:00,17816.6,17818.2,17815.2,17817.5,1411,120858
2024-01-02 09:43:00,17817.5,17818.6,17816.3,17817.6,1279,119367
2024-01-02 09:44:00,17817.6,17817.7,17813.5,17817.2,1583,120517
2024-01-02 09:45:00,17817.2,17818.5,17812.4,17814.7,1393,120209
2024-01-02 09:46:00,17814.7,17818.7,17810.9,17812.0,729,120276
2024-01-02 09:47:00,17812.0,17812.0,17809.6,17810.6,1417,118980
2024-01-02 09:48:00,17810.6,17812.1,17803.9,17806.5,1870,120901
2024-01-02 09:49:00,17806.5,17808.1,17795.5,17799.3,1784,120126
2024-01-02 09:50:00,17799.3,17803.3,17794.0,17795.3,732,120146
2024-01-02 09:51:00,17795.3,17795.5,17791.8,17792.8,1712,119288
2024-01-02 09:52:00,17792.8,17797.5,17791.1,17793.9,1363,120101
